domain,iterations_pct_gain,n_rrt,n_wrrt,path_length_pct_change,scenario,tree_size_pct_gain
2D,-117.33810746703134,10000,10000,2.0892378277391463,backtrack_required,-4.10066509776533
2D,47.75624427574041,10000,10000,3.0536916779699723,empty_space,47.1312874433007
2D,17.367225056126568,10000,10000,1.4265062803987731,maze,33.74455533418342
2D,36.83204152634992,10000,10000,3.105712000995982,multiple_narrow_passage,53.75518845276944
2D,28.83646427169256,10000,10000,-0.09757318627537666,multiple_paths,46.50327040152982
2D,31.41045271547015,10000,10000,1.9017205262014327,multiple_shifted_narrow_passage,51.435031369293355
2D,36.78812287550753,10000,10000,4.214718903090614,narrow_passage,52.978737916772936
2D,49.39952153665523,10000,10000,5.865403619241122,opposite_corners,49.34819569267593
2D,5.166704264050218,10000,10000,0.19757748055783456,single_wall,31.301782109016422
2D,33.336025944807446,10000,10000,-1.5043499275012036,very_close,32.33532060003385
